,Participant ID,wiki_1_a,wiki_2_a,ai_3_a,wiki_4_a,ai_5_a,ai_6_a,wiki_7_a,ai_8_a,ai_9_a,news_10_a,ai_11_a,news_12_a,ai_13_a,ai_14_a,ai_15_a,ai_16_a,wiki_17_a,ai_18_a,wiki_19_a,news_20_a,ai_21_a,ai_22_a,news_23_a,ai_24_a,news_25_a,wiki_26_a,wiki_27_a,wiki_28_a,ai_29_a,ai_30_a,news_31_a,wiki_32_a,ai_33_a,ai_34_a,ai_35_a,wiki_36_a,ai_37_a,wiki_38_a,ai_39_a,ai_40_a,ai_41_a,wiki_42_a,ai_43_a,wiki_44_a,news_45_a,ai_46_a,ai_47_a,ai_48_a,ai_49_a,ai_50_a,news_51_a,ai_52_a,wiki_53_a,news_54_a,news_55_a,news_56_a
12,2508179,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2508190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2508213,Jes,Jes,Jes,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2508250,Jes,Jes,Jes,Jes,Jes,Jes,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2508320,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Ne,Jes,Ne,Jes,Jes,Jes,Jes,Jes,Jes,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2508326,Jes,Jes,Jes,Jes,Ne,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Ne,Ne,Ne,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Jes,Ne,Jes,Ne,Jes,Jes,Jes,Jes,Ne,Jes,Jes,Jes,Jes,Ne,Jes,Jes,Ne,Jes,Jes,Jes,Jes,Jes
41,2508360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2508385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2508413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2508424,Ne,Ne,Ne,Jes,Ne,Jes,Jes,Jes,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2508437,Jes,Jes,Jes,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2508473,Jes,Jes,Jes,Jes,Jes,Ne,Ne,Jes,Ne,Ne,Jes,Ne,Ne,Jes,Jes,Jes,Ne,Ne,Jes,Ne,Ne,Ne,Ne,Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2508492,Ne,Jes,Jes,Jes,Ne,Ne,Jes,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Jes,Ne,Ne,Jes,Jes,Ne,Ne,Ne,Ne,Jes,Ne,Jes,Jes,Jes,Ne,Ne,Jes,Jes,Ne,Jes,Ne,Ne,Jes,Ne,Jes,Ne,Jes,Jes,Ne,Jes,Ne,Jes,Jes,Jes,Jes,Jes,Ne,Ne,Jes,Ne,Jes,Jes
75,2508535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2508970,Jes,Ne,Jes,Jes,Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2508982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2508988,,,,,Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2509356,Jes,Jes,Jes,Jes,Ne,Jes,Jes,Jes,Jes,Jes,Jes,Jes,,Jes,Jes,Jes,Jes,Jes,Jes,Ne,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2509525,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2509674,Jes,Ne,Ne,Jes,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2509684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2509787,Jes,Jes,Jes,,Jes,,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2510533,Jes,Jes,Ne,Jes,Jes,Jes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2511357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2511375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2513938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2519393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
